evaluation_protocol,metric,metric_display_name,seeds,real_only_mean,augmented_mean,mean_paired_improvement,improvement_standard_deviation,confidence_interval_95_lower,confidence_interval_95_upper,augmented_wins,ties,augmented_losses
Official segment-level split,accuracy,Accuracy,5,0.8793596340766152,0.9598056032018296,0.0804459691252143,0.0488992227401591,0.0197295647086118,0.1411623735418169,5,0,0
Session-independent split,accuracy,Accuracy,5,0.9232604373757456,0.9850741703624408,0.0618137329866952,0.0815914762006994,-0.0394954655720127,0.1631229315454032,4,0,1
Official segment-level split,balanced_accuracy,Balanced accuracy,5,0.8517940552780194,0.926802043068696,0.0750079877906765,0.053107226694546,0.0090666563596126,0.1409493192217404,4,0,1
Session-independent split,balanced_accuracy,Balanced accuracy,5,0.8941438901320783,0.9722926263846768,0.0781487362525984,0.0817859167007527,-0.0234018920748183,0.1796993645800152,4,0,1
Official segment-level split,macro_f1,Macro-F1,5,0.8002599984327115,0.9208779508829648,0.1206179524502535,0.0694991209794483,0.0343233960232644,0.2069125088772426,5,0,0
Session-independent split,macro_f1,Macro-F1,5,0.8485337322902797,0.96150339096509,0.1129696586748103,0.13135063736708,-0.0501236988850112,0.276063016234632,4,0,1
Official segment-level split,bird_precision,Bird precision,5,0.5883061822424407,0.853259726324262,0.2649535440818212,0.1339101213527125,0.0986821674030605,0.4312249207605818,5,0,0
Session-independent split,bird_precision,Bird precision,5,0.6822245105470068,0.9093897849163726,0.2271652743693656,0.2734853112164332,-0.1124115906056321,0.5667421393443635,4,0,1
Official segment-level split,bird_recall,Bird recall,5,0.8132397191574723,0.8806419257773319,0.0674022066198595,0.0699536779641408,-0.0194567568501542,0.1542611700898733,4,0,1
Session-independent split,bird_recall,Bird recall,5,0.8572674418604651,0.9561046511627908,0.0988372093023255,0.1135629356773321,-0.0421697994585478,0.2398442180631989,4,0,1
Official segment-level split,bird_f1,Bird F1,5,0.6748660784160528,0.8653939529238043,0.1905278745077515,0.1103771507944672,0.0534765401419532,0.3275792088735498,5,0,0
Session-independent split,bird_f1,Bird F1,5,0.742724635657079,0.9313814823708187,0.1886568467137397,0.2141714642221941,-0.0772721498535447,0.4545858432810241,4,0,1
Official segment-level split,drone_recall,Drone recall,5,0.8903483913985664,0.97296216036006,0.0826137689614935,0.0496466332621365,0.020969331807873,0.144258206115114,5,0,0
Session-independent split,drone_recall,Drone recall,5,0.9310203384036916,0.988480601606563,0.0574602632028713,0.0858714368023969,-0.0491632083486949,0.1640837347544375,4,0,1
Official segment-level split,roc_auc,ROC-AUC,5,0.9275971271039324,0.986267754756184,0.0586706276522516,0.0367994517166914,0.0129780733019981,0.1043631820025052,5,0,0
Session-independent split,roc_auc,ROC-AUC,5,0.9605634397618376,0.9978113957860512,0.0372479560242136,0.044963668922943,-0.0185818129045582,0.0930777249529855,3,0,2
