model,range_bin,samples,bird_samples,drone_samples,accuracy,balanced_accuracy,macro_f1,bird_recall,drone_recall,roc_auc,mean_drone_probability
10% real + synthetic 1:1,<30 m,2740,105,2635,0.9937956204379562,0.960196982018614,0.9581024304727912,0.923809523809524,0.996584440227704,0.9988325652841782,0.9650061130523682
10% real-only,<30 m,2740,105,2635,0.9722627737226276,0.743254721243336,0.7817190775681342,0.4952380952380952,0.9912713472485768,0.9838655462184872,0.85273445
25% real-only,<30 m,2740,105,2635,0.9945255474452556,0.9651486401012016,0.9630315562995218,0.9333333333333332,0.9969639468690702,0.9987638926538356,0.9610637
10% real + synthetic 1:1,30–50 m,2131,559,1572,0.9713749413420928,0.9488966119979788,0.9619165169833332,0.9016100178890876,0.9961832061068704,0.9986401107029548,0.7937653064727783
10% real-only,30–50 m,2131,559,1572,0.9145940872829658,0.8631467724535362,0.8831849056785626,0.7549194991055456,0.9713740458015268,0.9775066344389972,0.8152631
25% real-only,30–50 m,2131,559,1572,0.977475363679024,0.9611009071997888,0.9703078591515936,0.9266547406082288,0.9955470737913484,0.9986230409628244,0.7580311
10% real + synthetic 1:1,50–75 m,1402,282,1120,0.9443651925820256,0.9174202127659574,0.9141214719879376,0.8723404255319149,0.9625,0.9819940476190476,0.829113781452179
10% real-only,50–75 m,1402,282,1120,0.8880171184022825,0.9020516717325228,0.8474476305986312,0.925531914893617,0.8785714285714286,0.9554457953394124,0.7939845
25% real-only,50–75 m,1402,282,1120,0.9629101283880172,0.9330072188449848,0.9411922239251432,0.8829787234042553,0.9830357142857142,0.9919611195542049,0.80382997
10% real + synthetic 1:1,>75 m,723,51,672,0.9225449515905948,0.867734593837535,0.7756947214466161,0.803921568627451,0.9315476190476192,0.9522350606909432,0.8740901947021484
10% real-only,>75 m,723,51,672,0.5504840940525588,0.749124649859944,0.4584893702828829,0.9803921568627452,0.5178571428571429,0.7307277077497666,0.7618867
25% real-only,>75 m,723,51,672,0.9626556016597512,0.9346113445378152,0.876381298563133,0.9019607843137256,0.9672619047619048,0.981471755368814,0.8783661
